,_id,nursing_license,last_name,first_name,starting_date,shift,cardiology_hours,nephrology_hours,transplant_hours,respiratory_hours,aces,preceptor,charge_rn,bls,bls_expiration_date,pals,pals_expiration_date,employment_status,username,password,years_of_experience,bls_expiration_countown,pals_expiration_countown
10,448160,VQN9QO,HYXR,TYWDA,2023-01-12,PM,1,1,1,1,0,0,0,1,2024-12-12,0,2024-06-07,Part Time,thyxr08,:I^^W/R]q,1.8151950718685832,-37,151
11,853904,DSW64N,UNHPPDU,NOPS,2015-07-13,AM,1,1,0,1,0,0,1,1,2025-04-10,1,2025-01-09,Full Time,nunhpp11,M5x[]S4TQC,9.316906228610542,-156,-65
12,836844,ILRU11,EDZMLFEMUV,VWASXPBZYY,2018-12-14,PM,1,1,1,1,1,0,1,0,2024-02-28,0,2024-06-08,Full Time,vedzml12,"Xw""2x:hS*(v",5.894592744695414,251,150
13,243765,K7GUOA,WQXLS,OKBXU,2018-04-01,PM,1,1,1,1,1,1,0,0,2023-12-16,0,2023-12-24,Full Time,owqxls16,Krobz<N',6.598220396988364,325,317
14,415512,MPJAKL,JNAFITJ,WRFXGJVWM,2019-08-31,PM,1,1,1,1,0,1,0,0,2024-08-13,0,2024-02-05,Full Time,wjnafi12,FGQ2$&PguV/,5.1827515400410675,84,274
15,221830,616GNA,LGR,VDEBKYLL,2021-05-28,AM,1,1,1,0,1,0,0,0,2024-01-23,1,2025-06-08,Part Time,vlgr08,"V^,>2/&Ez\A",3.4414784394250515,287,-215
16,963720,GZJZT2,GTUD,LXUB,2019-11-21,PM,1,0,1,1,1,1,1,1,2025-03-24,1,2024-11-11,Part Time,lgtud08,"K~,6CE'Bm",4.958247775496235,-139,-6
17,137267,0XR38X,VUTZB,OVNVKV,2020-05-20,AM,1,1,0,1,1,1,0,1,2025-04-01,0,2024-02-06,Part Time,ovutzb10,?e'A*G+dlaV,4.462696783025325,-147,273
18,541331,JGYZXC,AJJYCDSY,NSTWIFXWYA,2022-02-13,AM,1,1,1,1,1,1,0,1,2025-05-06,0,2024-03-15,PRN,najjyc02,c<CMu[R_+kl,2.726899383983573,-182,235
19,600895,THZBKM,DMSVLAK,VZADTHIK,2022-04-17,PM,1,1,1,1,0,0,1,1,2025-01-24,1,2025-04-24,Full Time,vdmsvl20,">,c&8b=\_",2.5544147843942504,-80,-170
20,167002,8U6OND,NSGFLBCZX,ZQR,2024-03-16,PM,1,0,1,1,0,1,0,0,2024-08-05,1,2024-12-17,Part Time,znsgfl19,"Lt]Z+,(Q",0.6406570841889117,92,-42
21,722057,4JRGPZ,GCYLTMKOL,RLPIWO,2024-10-19,PM,1,1,1,1,0,0,1,0,2024-06-01,1,2025-08-02,Full Time,rgcylt11,9Z]Hw9~*QP+1,0.04654346338124572,157,-270
22,925913,289BIA,FGARCB,YMX,2016-10-21,AM,0,1,1,1,1,0,1,0,2023-12-16,0,2024-02-25,Part Time,yfgarc04,zvq;50-\b,8.041067761806982,325,254
23,647672,VDDG5A,QPAMRMB,JXDKKBDG,2022-09-17,AM,1,1,1,1,0,1,1,1,2024-11-12,1,2025-06-05,Full Time,jqpamr10,T0|C(DHBr~d,2.135523613963039,-7,-212
24,685031,ZLOQ6D,SYUBFF,PBYGJPFLFM,2018-10-31,PM,1,1,1,1,1,1,0,1,2025-10-28,1,2025-09-05,Full Time,psyubf20,e*z5r[A?,6.015058179329227,-357,-304
25,203202,GTJKOJ,KMB,BJOWI,2022-09-20,PM,1,1,1,1,0,1,0,0,2024-04-21,0,2024-08-13,PRN,bkmb15,xm)$CDUYb#o,2.127310061601643,198,84
26,106950,LTY37V,XGYYZWS,ZKPSZHUWX,2022-08-07,AM,1,1,1,1,1,1,1,0,2024-08-21,0,2024-08-10,Full Time,zxgyyz12,bc{<'[r},2.2477754962354553,76,87
27,603589,40R7HB,KHMLXH,ZEQSY,2019-02-17,PM,1,1,1,1,1,0,0,0,2024-09-11,1,2024-12-04,Full Time,zkhmlx05,r1skJ[fp,5.716632443531828,55,-29
28,570296,NUHTC4,PAHMKMSEO,KEQMLUCT,2015-11-25,AM,1,1,1,1,0,1,0,1,2025-07-26,1,2025-09-25,Full Time,kpahmk15,da-qRI<MI[,8.947296372347708,-263,-324
29,248009,PSSWM4,BAVMFLDNH,TYH,2015-04-21,AM,1,1,0,1,1,1,1,0,2024-10-16,0,2024-07-06,Full Time,tbavmf14,"jdr""0gE$C",9.544147843942506,20,122
30,270314,Z51B4H,RBZ,FQZ,2018-06-15,AM,1,1,1,1,1,0,1,1,2025-10-20,0,2024-01-29,PRN,frbz20,JW~Osi2.W,6.392881587953457,-349,281
31,561336,XCRVGR,IQEIOCLG,LNVH,2014-12-26,PM,1,1,1,0,1,1,1,1,2025-06-28,1,2025-10-18,Full Time,liqeio17,528/}f)k0iF,9.86173853524983,-235,-347
32,173741,541264,WIBVLQE,BQEVYVRSP,2015-03-26,PM,1,1,1,1,0,1,0,0,2024-05-05,0,2024-04-04,Full Time,bwibvl17,IgnDs<FfFj,9.61533196440794,184,215
33,938007,EY04R9,GQTDPPTAX,RVJMYP,2016-07-09,PM,1,1,1,1,1,0,0,0,2024-08-15,0,2024-07-09,Full Time,rgqtdp20,"5sJH_12)a""",8.32580424366872,82,119
34,814958,Y6GXCL,GXJNMFVZDX,IQTR,2020-05-15,AM,1,1,1,1,1,0,0,1,2024-11-22,1,2025-10-15,Part Time,igxjnm06,Sr-Cmzs#D,4.476386036960986,-17,-344
35,238484,RYOO5E,LXRWCJQU,HRTGQ,2023-01-30,PM,1,1,1,1,0,0,0,1,2025-02-11,1,2025-09-14,Full Time,hlxrwc01,LRP$kHc~e8,1.7659137577002053,-98,-313
36,479283,7HZ017,MAZN,SRDMW,2020-06-23,PM,1,1,0,1,1,1,0,0,2024-06-09,1,2025-09-18,Full Time,smazn13,hC`HOx0-,4.369609856262834,149,-317
37,118289,N3N19O,QKPLCDMBR,MWYW,2018-06-03,PM,1,1,1,1,0,0,1,0,2024-03-26,1,2025-01-07,Part Time,mqkplc15,17x_H]1Nd,6.425735797399041,224,-63
38,911790,0DOVHF,YVDVMWT,SROKVWQL,2021-01-23,AM,1,1,1,0,1,1,0,1,2025-04-04,1,2025-01-11,Full Time,syvdvm19,`@kp.g6LXh,3.783709787816564,-150,-67
39,774896,KX7U2P,JAFRQQ,ZQC,2019-03-01,PM,1,1,1,1,1,1,0,1,2025-03-23,1,2025-06-30,Full Time,zjafrq11,Mo[P:Bs$D,5.683778234086242,-138,-237
40,968255,ATDCU9,EZCLUGSS,HEZCHFJ,2016-03-11,PM,1,1,1,1,1,1,0,0,2023-12-15,1,2025-02-01,Full Time,hezclu20,>t9Zs*Dl+,8.654346338124572,326,-88
41,401231,AYTECB,LVQYC,ZXABG,2021-03-16,PM,1,1,0,1,1,0,0,0,2024-02-12,0,2024-09-02,Full Time,zlvqyc17,}jt3F37*&N9s,3.6413415468856947,267,64
42,568038,DUQ453,WRZETBDZH,WTYKJVXU,2021-10-02,AM,1,1,1,1,0,0,1,0,2023-12-20,1,2025-01-23,Full Time,wwrzet19,<0FY_pA]!/,3.0937713894592744,321,-79
43,351935,O240KM,CWSFUQ,PRKWZIT,2022-09-08,PM,1,1,1,1,1,1,1,0,2024-06-12,1,2025-01-24,Part Time,pcwsfu09,FOI.h'i+2,2.1601642710472277,146,-80
44,322696,Y2G9BH,VWWZS,QYXSAMWPNT,2019-01-31,PM,1,1,1,1,0,0,1,0,2024-07-17,1,2025-02-10,Full Time,qvwwzs03,q>EHR>^qL:@,5.763175906913073,111,-97
45,549704,FQUPH3,GKDE,RSRICTP,2015-08-08,AM,1,1,1,1,0,1,0,1,2024-12-16,1,2025-09-15,Part Time,rgkde11,!Q]V83;]w,9.245722108145106,-41,-314
46,723454,WIJ3I6,ZDXXDURM,CGGDRCDRV,2020-11-25,AM,1,1,0,1,1,1,1,0,2024-10-24,0,2024-06-26,Full Time,czdxxd06,*@SL]q=<Y,3.9452429842573578,12,132
47,269447,DU9Y5R,NJMT,TKQ,2015-09-05,PM,1,1,0,0,1,1,1,0,2024-02-16,0,2024-10-03,Full Time,tnjmt19,2nWS9B|s,9.169062286105408,263,33
48,346115,5SZG4Y,MASAGYKO,KRGXHSQQQ,2021-01-29,AM,1,1,1,1,1,1,1,0,2023-12-03,0,2024-07-15,Part Time,kmasag05,"h64#+""bF",3.7672826830937716,338,113
49,392394,VX0ZL6,UGJQOI,HCASSFG,2024-01-26,PM,1,1,1,1,1,1,0,0,2024-11-03,1,2025-06-26,PRN,hugjqo15,9e]I0>ie&,0.7775496235455168,2,-233
50,361991,QJLZOR,RHPLX,XDH,2018-02-14,PM,1,1,1,1,1,1,0,0,2024-07-24,1,2025-07-10,PRN,xrhplx13,apuj(Wsf3V`O,6.72416153319644,104,-247
51,645118,KMEWY2,VKTVWX,AZCR,2020-03-16,PM,1,1,1,1,0,1,0,0,2024-08-03,0,2024-04-01,Full Time,avktvw01,"E02c(,q^[vR",4.640657084188912,94,218
52,490271,7S0VLH,TADTPQB,GGKVRVQRW,2018-04-30,AM,1,1,1,1,1,0,1,0,2023-12-22,1,2025-05-02,Full Time,gtadtp04,R{w`b9U[nS}-,6.5188227241615335,319,-178
53,580939,7E6W4B,FUJARHAW,UHTRKSFESQ,2022-12-12,AM,1,1,1,1,0,1,0,1,2025-07-20,1,2024-11-16,Full Time,ufujar06,d*IZC$l!z,1.9000684462696784,-257,-11
54,338328,6VEDTP,MHJAUZMBYP,GNKCGWY,2019-06-01,PM,1,1,1,1,0,1,1,1,2025-08-22,0,2024-09-26,Part Time,gmhjau13,5lx>$GV7VA/>,5.431895961670089,-290,40
55,317746,GU8R97,PCINZMCLGE,PDEIDLTGWC,2017-07-03,AM,1,1,1,1,1,1,1,0,2024-04-09,0,2024-08-16,Full Time,ppcinz17,CqPs%IIJ(DST,7.342915811088296,210,81
56,666922,3GQMES,EZBNHFTHX,ZDAH,2016-02-24,AM,1,1,1,1,1,1,1,1,2024-12-30,0,2024-05-15,Full Time,zezbnh16,0i+xPY}lzkO;,8.698151950718685,-55,174
57,258217,KGNTVE,PIJVO,HTYRJ,2016-12-17,PM,1,0,1,1,0,0,0,0,2024-06-15,1,2024-12-20,Full Time,hpijvo12,QX'McX]^q,7.885010266940451,143,-45
58,750435,Y3VFQN,WRCACSMYRM,UYJUYAZMM,2018-10-23,AM,1,1,1,1,0,1,1,0,2024-03-27,1,2024-11-22,PRN,uwrcac10,W]$H6LW*3{,6.036960985626283,223,-17
59,371337,0DM8QC,JYAENYS,CZDGGAO,2021-09-02,AM,1,1,1,1,1,0,0,0,2024-09-02,1,2025-10-05,Part Time,cjyaen08,mn@F*q.&,3.1759069130732374,64,-334
60,429342,CFGQK0,BUCUAWHW,SPWM,2015-06-23,PM,1,1,1,1,1,0,0,1,2025-03-14,1,2025-08-16,Full Time,sbucua18,_zokuEa?,9.371663244353183,-129,-284
61,603765,J1GGJ0,LSORFX,HTODLT,2022-02-26,PM,1,1,1,1,1,1,0,1,2025-08-12,0,2023-12-08,Full Time,hlsorf04,"'ahH7Cx""[",2.6913073237508556,-280,333
62,296117,QYD9JM,UEAZUYWRD,SXT,2021-10-18,AM,1,0,1,1,1,0,0,0,2023-11-28,1,2025-04-08,Full Time,sueazu06,&?P-g7G5C,3.049965776865161,343,-154
63,623137,M11WZ7,BNBGY,KGRFSYFIOY,2015-07-07,AM,1,1,1,0,1,0,0,0,2024-01-26,1,2025-07-02,Part Time,kbnbgy02,"U2+A""p"";",9.333333333333334,284,-239
64,969526,NHPWDL,UBSPKUU,AMTDYI,2020-06-04,PM,1,1,1,1,1,1,0,1,2025-10-20,1,2025-08-20,Full Time,aubspk07,>or@n^Zd2,4.421629021218344,-349,-288
65,312847,N8KPJQ,ISXTUOQI,GKCP,2022-12-02,AM,1,1,1,1,1,0,1,0,2024-06-14,0,2024-10-30,PRN,gisxtu03,kL~'Gytf]FQ,1.9274469541409993,144,6
66,706696,FKZYEE,ITLVD,LGNOTHLFP,2018-07-22,AM,1,1,1,1,0,1,1,0,2024-08-27,0,2024-01-05,Full Time,litlvd17,U%7.UaSh|,6.291581108829569,70,305
67,150887,UUZNEC,STGFKCE,QVQISYXW,2019-12-23,PM,1,1,1,1,1,0,1,0,2024-08-16,1,2025-10-30,Full Time,qstgfk20,Is;)s;c!MB,4.870636550308008,81,-359
68,960936,QRG90A,IORGROIZA,ZII,2016-06-04,PM,1,1,1,1,0,1,0,0,2023-12-04,1,2024-12-29,Full Time,ziorgr05,@qT:.OHA.c,8.421629021218344,337,-54
69,898522,UQ1521,GCW,KHRADA,2017-01-22,PM,1,1,1,1,0,0,1,1,2025-04-07,1,2025-02-18,Full Time,kgcw17,v'ZuglR$Wa#,7.786447638603696,-153,-105
70,956904,34KWOR,ETFV,FJDU,2017-06-27,AM,1,1,1,1,1,1,0,1,2024-12-18,1,2025-10-18,PRN,fetfv11,Cf>^babGYd,7.359342915811088,-43,-347
71,419712,Y6G5H1,DKGH,XCLYNFWM,2024-01-18,AM,1,1,1,1,1,0,1,0,2024-08-12,1,2025-09-26,Full Time,xdkgh15,".FvCQ+""n",0.7994524298425736,85,-325
72,844803,W8GPJ1,VZBAQRCU,MCSBRA,2024-08-31,AM,1,1,1,1,1,1,1,0,2024-06-15,0,2024-10-25,Full Time,mvzbaq20,Ysc}m*yi,0.1806981519507187,143,11
73,862852,V8NTL1,FGNX,ZTHJNRTB,2017-12-01,PM,1,1,1,1,1,1,0,0,2024-02-14,0,2024-02-14,Full Time,zfgnx06,"W#G+\q8""{d",6.929500342231348,265,265
74,434974,KIQL9D,PTIRX,TJDJDNU,2023-09-07,AM,1,1,1,1,1,1,1,0,2023-12-17,0,2024-10-20,Full Time,tptirx04,lN@!qVb3;'L*,1.163586584531143,324,16
75,489756,ZB74J3,DQI,RONWPEO,2017-10-19,AM,1,1,1,1,1,1,1,0,2024-07-26,0,2024-06-01,Part Time,rdqi12,"6?n/1vwK!e,.",7.047227926078029,102,157
76,795697,SL0VX1,FXAJWWHFN,OSNWQ,2014-11-08,AM,1,1,1,1,1,0,0,0,2024-02-28,1,2025-08-09,Full Time,ofxajw20,xTtV[PJ{9,9.99315537303217,251,-277
77,361280,4Y0A39,WURV,KOXMU,2019-10-06,PM,1,1,1,1,1,0,0,1,2025-05-04,1,2025-03-06,Full Time,kwurv03,0GHrJg27d,5.084188911704312,-180,-121
78,166124,1IYXKF,YDAQP,FERBUCHQ,2020-07-20,AM,1,1,1,1,1,0,1,1,2025-10-25,0,2024-04-09,Full Time,fydaqp07,D$pBg'&=},4.295687885010267,-354,210
79,115630,5KR0FP,SMQF,GPUMKX,2021-04-14,AM,1,0,1,1,1,0,0,0,2023-12-27,1,2025-07-03,Full Time,gsmqf20,}N.edc;;k,3.561943874058864,314,-240
80,409886,TTPJ9Y,EOZLRRLWCX,IFPZ,2019-06-17,PM,1,1,1,1,1,0,0,0,2024-03-09,0,2023-12-10,Full Time,ieozlr13,"o4n""DCL1W`RZ",5.388090349075975,241,331
81,720759,GO0FZZ,LALVKFOQ,AJBXJBCJY,2017-08-30,PM,1,1,1,1,1,1,0,0,2024-03-29,0,2023-12-06,PRN,alalvk11,_1U6/yM$Q,7.184120465434634,221,335
82,583293,TONS40,BOHAB,VAY,2017-07-23,PM,1,0,1,1,1,0,1,1,2025-01-09,1,2025-01-18,Part Time,vbohab06,"Kk-t7mu2vNk,",7.2881587953456535,-65,-74
83,312552,A39ZCD,GNYQH,XUZ,2018-12-31,PM,1,1,1,1,1,1,0,0,2024-03-20,0,2024-08-06,Part Time,xgnyqh19,W\g/=Ns>.,5.848049281314168,230,91
84,732397,ZB2X8R,QFFQS,RLXY,2015-12-06,AM,1,1,0,1,1,0,0,0,2024-07-23,1,2025-10-07,Full Time,rqffqs13,+&$afTtR3.2,8.917180013689254,105,-336
85,923827,6I984Y,IYVBE,KQEYGMAJYF,2019-04-18,PM,1,1,1,1,1,1,1,1,2025-06-08,1,2025-06-06,Full Time,kiyvbe16,",YN$Q*ks0)^",5.552361396303901,-215,-213
86,146082,VTJT7H,OEUQFI,SSLEPSW,2019-03-28,PM,1,1,1,1,1,1,0,0,2024-04-10,1,2025-06-02,Part Time,soeuqf15,_~vqnS[QT,5.6098562628336754,209,-209
87,570841,C0C1QV,JVASETVCVJ,PKA,2017-05-09,AM,1,1,1,1,1,1,0,1,2025-01-18,1,2025-09-23,PRN,pjvase16,"E(aC~x@,e]QG",7.493497604380561,-74,-322
88,348773,4GHAZE,TSAWZVFRS,KWHDGME,2022-07-02,PM,1,1,1,1,1,1,1,0,2024-10-20,0,2023-11-10,Full Time,ktsawz09,"""#`Qv*9t$tyC",2.346338124572211,16,361
89,653278,FR919U,LSO,LTACDK,2019-06-09,AM,1,1,1,1,0,0,1,0,2024-09-25,0,2023-12-20,Full Time,llso20,C<(rT+T>#nn/,5.409993155373032,41,321
90,455075,4AW0OB,DZZTR,LYMZBHSB,2020-12-08,PM,1,1,1,1,1,0,1,0,2024-10-20,1,2025-02-24,Part Time,ldzztr01,OTzV#f5h:xXc,3.909650924024641,16,-111
91,195795,DW4AC6,YLLUJ,VNUEUFPUWW,2020-05-31,AM,1,1,0,1,1,1,0,0,2024-09-29,1,2025-10-05,Part Time,vylluj19,Kv8;$>;.,4.432580424366872,37,-334
92,230424,48EZXL,DBISV,PCD,2024-09-20,AM,1,0,1,1,1,0,1,0,2024-07-10,0,2024-03-09,Full Time,pdbisv10,EDUkgiT>.o'O,0.12594113620807665,118,241
93,800766,ACQU8P,IMVDE,UKOBVH,2015-08-10,AM,1,1,1,1,1,1,1,0,2023-12-20,0,2024-06-18,Part Time,uimvde20,:pBcg=^j,9.240246406570842,321,140
94,858725,Y011X6,EKJLWQYUX,ONRTDCZ,2019-09-30,AM,1,1,1,1,1,0,1,0,2024-01-31,0,2024-08-01,PRN,oekjlw20,:^119oN3?hFE,5.100616016427105,279,96
95,580141,Q3C5OW,BAF,YZZNVQJTPT,2015-01-13,PM,1,1,1,1,1,1,1,0,2024-08-24,0,2024-01-06,Part Time,ybaf09,Tjy4zc}Vo5,9.81245722108145,73,304
96,679510,X09LLP,CWMWYZNUZQ,LCGNUC,2024-01-24,AM,0,1,1,1,1,1,0,1,2025-07-22,0,2024-06-16,PRN,lcwmwy16,UmdrZ4xq<2B,0.783025325119781,-259,142
97,380934,CX6IRC,VEGD,NDSDOHN,2018-06-28,AM,1,1,1,1,0,0,1,1,2025-10-25,0,2024-01-22,Part Time,nvegd11,Ar7@.mS2,6.357289527720739,-354,288
98,187924,77IFVA,MMVLMF,XSVNR,2016-01-12,PM,1,0,1,1,1,1,0,0,2024-08-24,0,2024-08-27,PRN,xmmvlm19,:X|~<)G6g,8.815879534565367,73,70
99,130907,QWRE11,IJCFGBVQIP,PUXGPIOHZ,2021-05-13,AM,1,1,0,1,1,1,1,0,2024-01-30,0,2024-09-29,Full Time,pijcfg17,#FbDkqPf7i,3.482546201232033,280,37
100,969037,EKQ67Q,LZYGBHTV,NWCQI,2021-12-20,AM,1,1,1,1,0,1,0,0,2024-09-21,1,2025-10-20,Full Time,nlzygb09,"""UMT.y1O!L",2.8774811772758384,45,-349
101,711841,AP4MRN,XMQRDW,WRTQNB,2016-01-25,PM,1,1,1,1,0,1,1,1,2024-12-22,1,2025-01-02,Part Time,wxmqrd07,`>nl7WI+4?j,8.780287474332649,-47,-58
102,738631,CSST4H,JGJOXQEH,DZYXISR,2018-01-18,PM,1,1,1,1,1,0,1,0,2024-04-17,0,2024-11-01,PRN,djgjox12,'uYkwq_:[k,6.798083504449007,202,4
103,667158,GW4MA2,SJJLVGES,OXULGZ,2021-09-28,AM,1,0,1,1,0,0,1,0,2023-12-09,1,2025-06-18,Full Time,osjjlv20,;^^:)m#u!r,3.1047227926078027,332,-225
104,230393,QDDKA1,GOZU,BFXD,2022-11-27,AM,1,1,1,1,1,1,0,0,2024-02-04,0,2023-12-12,Full Time,bgozu10,"I`<J,ht{0-j.",1.9411362080766599,275,329
105,910019,PBG1FL,YZTLUJB,CXYZWWPL,2015-01-28,AM,0,1,1,1,1,0,1,1,2025-01-06,0,2024-10-22,Full Time,cyztlu17,>*6z>c'-,9.77138945927447,-62,14
106,429910,WOG5FF,QHJYZMUG,VVPRYEPH,2020-05-30,PM,1,1,1,1,1,0,0,1,2025-08-24,0,2024-01-30,Full Time,vqhjyz19,!R2M(y]]s,4.435318275154004,-292,280
107,991937,JFYA03,QEKKTN,LPWCUQSL,2023-12-19,PM,0,0,1,1,1,0,1,0,2024-09-22,1,2024-11-13,Full Time,lqekkt17,"F6""O8Jl~H,",0.8815879534565366,44,-8
108,483739,EAQY3E,ZQNNJ,CEAJGN,2022-11-27,PM,1,1,1,1,0,0,1,0,2024-05-19,1,2024-11-13,Full Time,czqnnj03,l%';'{ka;&Na,1.9411362080766599,170,-8
109,420848,ABDP4Y,YZXYTPO,JFAD,2015-12-27,PM,0,1,1,1,1,1,1,1,2024-11-30,1,2025-08-22,PRN,jyzxyt02,3-1yrKvl%H9I,8.85968514715948,-25,-290
110,268315,JTUZPK,ZEVIXMH,XLVC,2017-05-15,AM,1,1,1,1,1,0,1,0,2024-07-16,1,2025-03-04,Full Time,xzevix17,\IYLA!{<{b,7.477070499657769,112,-119
111,969916,0BPBSA,NSNGGDQDRP,JQTNB,2022-11-22,PM,1,1,1,1,1,0,0,1,2025-09-08,1,2025-08-31,Full Time,jnsngg03,RX#mQ#e-,1.9548254620123204,-307,-299
112,736005,5IIF2B,YFNMNSITFZ,GLAHTTJLYR,2016-04-01,AM,1,1,0,1,1,1,1,1,2025-01-09,0,2024-04-19,Full Time,gyfnmn16,/W7#B7F&/Pb,8.596851471594798,-65,200
113,122539,TC5WDM,RAKNGF,VDQ,2016-09-09,PM,1,1,1,1,1,0,0,1,2025-01-21,0,2024-01-02,Full Time,vrakng09,<VRuL40%.,8.15605749486653,-77,308
114,143709,PG5HW9,OGHLXEBO,QCWKCZ,2020-04-18,PM,1,1,1,1,0,0,0,0,2024-06-03,0,2024-10-04,Full Time,qoghlx16,"D}""0N{k2Lhx",4.550308008213553,155,32
115,759295,D8WICN,YMD,RNKD,2023-06-22,AM,1,1,1,1,0,0,1,0,2024-06-20,0,2024-03-05,Full Time,rymd03,w1_47BIJ[qr,1.374401095140315,138,245
116,230570,RZKL1P,TMUJ,UZRDVYHAS,2021-12-16,PM,1,1,1,1,1,1,1,1,2025-01-09,1,2025-04-13,Part Time,utmuj19,=zL*YH7(rfkJ,2.8884325804243667,-65,-159
117,137759,MC50K2,JUGDTCTE,NYTWYQUFNG,2021-12-14,AM,1,1,1,1,1,0,1,1,2025-01-30,0,2024-05-02,PRN,njugdt02,\IQCZM`m5%V,2.8939082819986313,-86,187
118,497286,V7V86F,MUIFA,HHQOJWXJR,2018-09-03,AM,1,1,1,1,1,0,0,1,2024-12-01,0,2024-09-26,Full Time,hmuifa11,QY;5L.gnR_tL,6.1738535249828885,-26,40
119,503263,X7W5FI,MSXSAFKC,BZMGLSW,2021-03-30,PM,1,1,1,1,1,1,0,0,2023-12-11,0,2024-03-13,Full Time,bmsxsa16,"Bu~4~UT,:QWx",3.6030116358658453,330,237
120,723021,1V4I2I,RURUFDPLMZ,HEXUE,2021-05-02,PM,1,1,1,1,1,1,0,1,2025-05-25,0,2024-08-03,Full Time,hruruf12,",X""M2V9!+",3.512662559890486,-201,94
121,151019,P3ZKQ4,VPPJLCBNB,IMW,2019-05-15,AM,1,1,1,1,1,0,1,0,2024-07-16,0,2023-12-11,Full Time,ivppjl18,Wdjsza'q,5.478439425051334,112,330
122,950031,DB97WH,GYLI,LTCKJO,2023-02-07,AM,1,1,1,1,1,0,0,1,2025-10-30,0,2024-10-03,Full Time,lgyli05,}G_P4kxOrF,1.7440109514031485,-359,33
123,439791,LGYGPA,RMR,XWAHOSFC,2020-04-18,PM,1,1,1,1,1,1,1,0,2024-07-01,0,2023-12-10,Full Time,xrmr20,R=-{xc/X=[,4.550308008213553,127,331
124,629621,90IGHX,WJISVQDOEC,MGPDPIQ,2017-04-27,AM,1,0,0,1,1,1,0,1,2025-07-28,1,2025-06-11,Full Time,mwjisv18,0JCozrIsP@f,7.526351813826146,-265,-218
125,885707,0922UV,DOS,AQE,2021-07-23,PM,1,1,1,1,1,0,1,0,2024-07-30,0,2024-01-10,PRN,ados07,ulQWh&FVW,3.2881587953456535,98,300
126,667049,T21U4Q,BLY,QYNXVAH,2021-05-21,AM,1,1,1,1,1,0,0,0,2024-06-10,0,2024-03-06,Full Time,qbly07,m?YDWnx1n<{,3.460643394934976,148,244
127,517017,LLM946,JVBPPFZQ,VYPSYGNP,2016-04-21,AM,1,1,1,1,1,1,1,1,2025-04-17,0,2024-06-09,Full Time,vjvbpp15,zvJD7zI7%n8<,8.542094455852157,-163,149
128,217657,T65ZO6,QRMZFUQWCA,SJHFLLGXAQ,2020-02-22,PM,1,1,1,0,0,0,0,0,2024-10-30,0,2024-03-16,Full Time,sqrmzf08,t-IBw`-|O1a{,4.70362765229295,6,234
129,286553,FNEBIS,KNNXFRV,HKD,2022-05-25,PM,1,1,1,1,1,0,0,0,2024-05-29,1,2025-04-18,Part Time,hknnxf20,LQSqUim.,2.4503764544832305,160,-164
130,374038,8BWO1P,AKE,PWURV,2018-04-16,AM,1,1,1,1,1,0,1,1,2024-12-11,1,2024-12-21,Part Time,pake20,c#n*s+`2Ft,6.5571526351813825,-36,-46
